FreqPair,Paired,Metric,Comparison,Test,Statistic,p_value
30 Hz (S: 10),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,24.0,0.46484375
30 Hz (S: 10),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,7.0,1.0
30 Hz (S: 10),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,31.0,0.7426739926739928
30 Hz (S: 10),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,39.0,0.22115384615384617
30 Hz (S: 10),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,22.0,0.365234375
30 Hz (S: 10),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,6.0,0.8125
30 Hz (S: 10),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,36.0,0.37728937728937734
30 Hz (S: 10),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,43.0,0.08974358974358976
30 Hz (S: 10),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,32.0,0.9658203125
30 Hz (S: 10),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,7.0,1.0
30 Hz (S: 10),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,22.0,0.5833333333333334
30 Hz (S: 10),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,19.0,0.37728937728937734
30 Hz (S: 6),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,28.0,0.7001953125
30 Hz (S: 6),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,6.0,0.8125
30 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,33.0,0.5833333333333334
30 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,33.0,0.5833333333333334
30 Hz (S: 6),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,22.0,0.365234375
30 Hz (S: 6),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,6.0,0.8125
30 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,36.0,0.37728937728937734
30 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,43.0,0.08974358974358976
30 Hz (S: 6),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,22.0,0.365234375
30 Hz (S: 6),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,4.0,0.4375
30 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,27.0,1.0
30 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,15.0,0.18040293040293043
36 Hz (S: 6),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,28.0,0.7001953125
36 Hz (S: 6),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,7.0,1.0
36 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,33.0,0.5833333333333334
36 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,46.0,0.03800366300366301
36 Hz (S: 6),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,27.0,0.6376953125
36 Hz (S: 6),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,6.0,0.8125
36 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,38.0,0.26739926739926745
36 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,44.0,0.06868131868131869
36 Hz (S: 6),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,28.0,0.7001953125
36 Hz (S: 6),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,7.0,1.0
36 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,26.0,0.9130036630036632
36 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,25.0,0.8269230769230771
40 Hz (S: 10),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,32.0,0.9658203125
40 Hz (S: 10),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,7.0,1.0
40 Hz (S: 10),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,35.0,0.440934065934066
40 Hz (S: 10),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,45.0,0.05173992673992674
40 Hz (S: 10),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,29.0,0.7646484375
40 Hz (S: 10),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,6.0,0.8125
40 Hz (S: 10),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,39.0,0.22115384615384617
40 Hz (S: 10),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,45.0,0.05173992673992674
40 Hz (S: 10),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,20.0,0.2783203125
40 Hz (S: 10),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,7.0,1.0
40 Hz (S: 10),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,27.0,1.0
40 Hz (S: 10),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,20.0,0.440934065934066
40 Hz (S: 20),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,26.0,0.5771484375
40 Hz (S: 20),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,6.0,0.8125
40 Hz (S: 20),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,26.0,0.9130036630036632
40 Hz (S: 20),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,32.0,0.6611721611721613
40 Hz (S: 20),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,29.0,0.7646484375
40 Hz (S: 20),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,6.0,0.8125
40 Hz (S: 20),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,39.0,0.22115384615384617
40 Hz (S: 20),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,45.0,0.05173992673992674
40 Hz (S: 20),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,30.0,0.8310546875
40 Hz (S: 20),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,7.0,1.0
40 Hz (S: 20),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,16.0,0.22115384615384617
40 Hz (S: 20),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,25.0,0.8269230769230771
6 Hz (S: 6),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,28.0,0.7001953125
6 Hz (S: 6),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,7.0,1.0
6 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,25.0,0.8269230769230771
6 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,27.0,1.0
6 Hz (S: 6),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,30.0,0.8310546875
6 Hz (S: 6),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,7.0,1.0
6 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,24.0,0.7426739926739928
6 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,27.0,1.0
6 Hz (S: 6),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,26.0,0.5771484375
6 Hz (S: 6),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,6.0,0.8125
6 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,29.0,0.9130036630036632
6 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,21.0,0.5096153846153847
